"   ";"PAY";"CNT";"PAY_DATE"
"59";"34072148,06";"44874";"28.02.2012"
"60";"35013960,88";"48089";"29.02.2012"
"61";"28877636,13";"35306";"01.03.2012"
"62";"21655751,24";"25553";"02.03.2012"
"63";"23104246,61";"26244";"03.03.2012"
"64";"1788363,55";"2053";"04.03.2012"
"65";"24007836,8";"27600";"05.03.2012"
"66";"22385392,06";"25951";"06.03.2012"
"67";"20115470,89";"23808";"07.03.2012"
"68";"201065,98";"244";"08.03.2012"
"69";"1439834,42";"1831";"09.03.2012"
"70";"9155253,19";"11071";"10.03.2012"
"71";"24609832,91";"27907";"11.03.2012"
"72";"26817674,57";"33158";"12.03.2012"
"73";"29233081,07";"41835";"13.03.2012"
"74";"34617541,96";"55594";"14.03.2012"
"75";"36875136,62";"62487";"15.03.2012"
"76";"39050202,44";"68077";"16.03.2012"
"77";"39620606,42";"64027";"17.03.2012"
"78";"4338896,98";"7002";"18.03.2012"
"79";"43606338,64";"72965";"19.03.2012"
"80";"42576965,45";"65273";"20.03.2012"
"81";"37456438,03";"53634";"21.03.2012"
"82";"30054441,16";"42212";"22.03.2012"
"83";"25998288,28";"36454";"23.03.2012"
"84";"25895177,14";"34427";"24.03.2012"
"85";"2580879,04";"3686";"25.03.2012"
"86";"29265219";"40289";"26.03.2012"
"87";"24994417,72";"33000";"27.03.2012"
"88";"23677117,31";"31295";"28.03.2012"
"89";"22744884,46";"30330";"29.03.2012"
"90";"24006248,5";"33383";"30.03.2012"
"91";"24710084,82";"33518";"31.03.2012"
"92";"2204837,46";"2802";"01.04.2012"
"93";"27031647,25";"33827";"02.04.2012"
"94";"22937283,82";"26841";"03.04.2012"
"95";"20220985,39";"22820";"04.04.2012"
"96";"19629603,09";"21562";"05.04.2012"
"97";"18959468,05";"21200";"06.04.2012"
"98";"17497723,94";"19527";"07.04.2012"
"99";"1692653,46";"2025";"08.04.2012"
"100";"24925831,7";"31283";"09.04.2012"
"101";"25127704,46";"32878";"10.04.2012"
"102";"26161804,27";"36895";"11.04.2012"
"103";"27048044,22";"41326";"12.04.2012"
"104";"29357925,09";"47890";"13.04.2012"
"105";"25248900,25";"40377";"14.04.2012"
"106";"2062220,54";"3350";"15.04.2012"
"107";"33565515,98";"59919";"16.04.2012"
"108";"39477076";"66609";"17.04.2012"
"109";"39695034,63";"67240";"18.04.2012"
"110";"39791166,77";"63763";"19.04.2012"
"111";"33405060,32";"52568";"20.04.2012"
"112";"26138166,73";"38785";"21.04.2012"
"113";"2543268,24";"4209";"22.04.2012"
"114";"31214862,5";"47617";"23.04.2012"
"115";"26910517,23";"38383";"24.04.2012"
"116";"27889785,24";"39806";"25.04.2012"
"117";"23792076,55";"33150";"26.04.2012"
"118";"27743890,62";"40442";"27.04.2012"
"119";"29983665,17";"45237";"28.04.2012"
"120";"2789647,19";"4152";"29.04.2012"
"121";"8889758,83";"13824";"30.04.2012"
"122";"481817,31";"668";"01.05.2012"
"123";"28910131,03";"40649";"02.05.2012"
"124";"25692084,59";"33386";"03.05.2012"
"125";"23619141,4";"29905";"04.05.2012"
"126";"21002213,53";"26113";"05.05.2012"
"127";"1890643,11";"2377";"06.05.2012"
"128";"6851336,4";"8983";"07.05.2012"
"129";"4620248,25";"6189";"08.05.2012"
"130";"259114,71";"314";"09.05.2012"
"131";"24080266,87";"32623";"10.05.2012"
"132";"22239376,12";"29327";"11.05.2012"
"133";"25785457,18";"37650";"12.05.2012"
"134";"3060363,14";"4983";"13.05.2012"
"135";"35980232,53";"61156";"14.05.2012"
"136";"37286865,21";"65448";"15.05.2012"
"137";"38292310,09";"66858";"16.05.2012"
"138";"37021928,68";"64382";"17.05.2012"
"139";"36730433,07";"65806";"18.05.2012"
"140";"31597834,34";"52742";"19.05.2012"
"141";"3255892,02";"6039";"20.05.2012"
"142";"34171726,21";"56784";"21.05.2012"
"143";"31759797,4";"48704";"22.05.2012"
"144";"27484077,18";"40910";"23.05.2012"
"145";"25204896,23";"37365";"24.05.2012"
"146";"22879314,15";"33473";"25.05.2012"
"147";"17272801,06";"24191";"26.05.2012"
"148";"1645626,63";"2408";"27.05.2012"
"149";"25531837,55";"38346";"28.05.2012"
"150";"23766375,79";"34129";"29.05.2012"
"151";"20113475,88";"27967";"30.05.2012"
"152";"28946453,08";"40018";"31.05.2012"
"153";"22238566,22";"28881";"01.06.2012"
"154";"14027687,23";"16864";"02.06.2012"
"155";"596418,85";"761";"03.06.2012"
"156";"24103999,24";"30765";"04.06.2012"
"157";"22143447,46";"26449";"05.06.2012"
"158";"20072757,21";"23519";"06.06.2012"
"159";"18265151,35";"21874";"07.06.2012"
"160";"18897612,08";"23501";"08.06.2012"
"161";"20267265,58";"27044";"09.06.2012"
"162";"782838,76";"1060";"10.06.2012"
"163";"8261765,87";"13618";"11.06.2012"
"164";"515320,31";"761";"12.06.2012"
"165";"30568214,22";"53100";"13.06.2012"
"166";"32780598,13";"58755";"14.06.2012"
"167";"33144194,17";"61186";"15.06.2012"
"168";"28605779,13";"51536";"16.06.2012"
"169";"991616,35";"1690";"17.06.2012"
"170";"36514026,9";"71544";"18.06.2012"
"171";"38956320,89";"70129";"19.06.2012"
"172";"35970256,22";"60113";"20.06.2012"
"173";"30540586,06";"48104";"21.06.2012"
"174";"25678371,06";"39273";"22.06.2012"
"175";"18594548,73";"28247";"23.06.2012"
"176";"877039,6";"1192";"24.06.2012"
"177";"29216397,98";"44701";"25.06.2012"
"178";"27759391,59";"38487";"26.06.2012"
"179";"27921413,83";"37046";"27.06.2012"
"180";"29847360,08";"38604";"28.06.2012"
"181";"37025683,6";"45442";"29.06.2012"
"182";"40279824,97";"47169";"30.06.2012"
"183";"834572,48";"1117";"01.07.2012"
"184";"25665437,66";"34687";"02.07.2012"
"185";"23249900,52";"29241";"03.07.2012"
"186";"19943881,56";"24493";"04.07.2012"
"187";"17546727,27";"21478";"05.07.2012"
"188";"16349488,4";"20070";"06.07.2012"
"189";"11110200,53";"13392";"07.07.2012"
"190";"407766,32";"516";"08.07.2012"
"191";"18136946,09";"23719";"09.07.2012"
"192";"18522843,28";"24910";"10.07.2012"
"193";"19385713,94";"29230";"11.07.2012"
"194";"20616012,25";"34747";"12.07.2012"
"195";"20166933,61";"36700";"13.07.2012"
"196";"19535173,63";"36070";"14.07.2012"
"197";"858045,53";"1528";"15.07.2012"
"198";"27359314,18";"54404";"16.07.2012"
"199";"29603310,39";"58709";"17.07.2012"
"200";"29144684,49";"56185";"18.07.2012"
"201";"27961815,56";"54406";"19.07.2012"
"202";"25794711,37";"48489";"20.07.2012"
"203";"17217273,64";"30773";"21.07.2012"
"204";"634356,84";"1201";"22.07.2012"
"205";"22677556,17";"42630";"23.07.2012"
"206";"21688049,3";"38586";"24.07.2012"
"207";"21551390,92";"37429";"25.07.2012"
"208";"20056422,34";"31911";"26.07.2012"
"209";"17536289,63";"28090";"27.07.2012"
"210";"11953960,87";"20212";"28.07.2012"
"211";"471985,52";"812";"29.07.2012"
"212";"19825760,34";"34979";"30.07.2012"
"213";"22580327,02";"37692";"31.07.2012"
"214";"18675985,96";"27088";"01.08.2012"
"215";"18677077,29";"25888";"02.08.2012"
"216";"15401448,31";"21936";"03.08.2012"
"217";"10712799,33";"14939";"04.08.2012"
"218";"518532,93";"703";"05.08.2012"
"219";"17677099,89";"25077";"06.08.2012"
"220";"14323934,8";"19188";"07.08.2012"
"221";"14569207,37";"19148";"08.08.2012"
"222";"16637887";"24128";"09.08.2012"
"223";"17354793,64";"27745";"10.08.2012"
"224";"15723442,71";"25686";"11.08.2012"
"225";"610540,88";"1074";"12.08.2012"
"226";"23577274,06";"42992";"13.08.2012"
"227";"23502152,93";"43421";"14.08.2012"
"228";"24722556,73";"47173";"15.08.2012"
"229";"26517731,17";"53064";"16.08.2012"
"230";"28089897,56";"58065";"17.08.2012"
"231";"21839085,38";"44335";"18.08.2012"
"232";"913257,66";"1574";"19.08.2012"
"233";"27554869,36";"57874";"20.08.2012"
"234";"26247853,45";"49121";"21.08.2012"
"235";"22853214,56";"41708";"22.08.2012"
"236";"16873436,83";"30732";"23.08.2012"
"237";"20761063,74";"38905";"24.08.2012"
"238";"15512869,42";"27896";"25.08.2012"
"239";"705149,62";"1152";"26.08.2012"
"240";"21617157,04";"37587";"27.08.2012"
"241";"20278262,32";"34238";"28.08.2012"
"242";"18962829,53";"29952";"29.08.2012"
"243";"20271086,26";"32082";"30.08.2012"
"244";"23821045,75";"35755";"31.08.2012"
"245";"14962735,09";"20610";"01.09.2012"
"246";"592104,21";"751";"02.09.2012"
"247";"20087973,81";"27445";"03.09.2012"
"248";"19403892,16";"24993";"04.09.2012"
"249";"16849390,16";"20865";"05.09.2012"
"250";"16454721,09";"19550";"06.09.2012"
"251";"13506282,13";"16066";"07.09.2012"
"252";"13568901,46";"16553";"08.09.2012"
"253";"642365,41";"780";"09.09.2012"
"254";"18939172,35";"24434";"10.09.2012"
"255";"17358419,39";"21804";"11.09.2012"
"256";"17039163,79";"20537";"12.09.2012"
"257";"16058879,31";"19470";"13.09.2012"
"258";"16830203,77";"23298";"14.09.2012"
"259";"16579934,77";"24983";"15.09.2012"
"260";"769131,58";"1112";"16.09.2012"
"261";"24880384,97";"46072";"17.09.2012"
"262";"28780907,1";"59877";"18.09.2012"
"263";"30780443,25";"65535";"19.09.2012"
"264";"32897437,89";"67328";"20.09.2012"
"265";"30567016,22";"59747";"21.09.2012"
"266";"25440292,1";"47897";"22.09.2012"
"267";"991062,98";"1747";"23.09.2012"
"268";"30134211,31";"61575";"24.09.2012"
"269";"28730525,11";"54539";"25.09.2012"
"270";"27786775,93";"48988";"26.09.2012"
"271";"26186085,52";"46097";"27.09.2012"
"272";"25774255,22";"45650";"28.09.2012"
"273";"23043031,22";"39568";"29.09.2012"
"274";"1237809,45";"1828";"30.09.2012"
"275";"30828929,45";"43657";"01.10.2012"
"276";"24811132,97";"31444";"02.10.2012"
"277";"21103014,84";"25564";"03.10.2012"
"278";"17843639,08";"20768";"04.10.2012"
"279";"16045363,45";"19161";"05.10.2012"
"280";"14501931,73";"16104";"06.10.2012"
"281";"1325165,3";"1417";"07.10.2012"
"282";"17640946,83";"20012";"08.10.2012"
"283";"17766637,98";"19871";"09.10.2012"
"284";"15942785,26";"17765";"10.10.2012"
"285";"16132174,71";"17993";"11.10.2012"
"286";"15282483,07";"17047";"12.10.2012"
"287";"14082130,16";"15439";"13.10.2012"
"288";"1395833,04";"1454";"14.10.2012"
"289";"16437552,38";"20048";"15.10.2012"
"290";"20601732,04";"29996";"16.10.2012"
"291";"25240862,26";"46589";"17.10.2012"
"292";"28762758,64";"66308";"18.10.2012"
"293";"31196959,55";"72945";"19.10.2012"
"294";"32860266,59";"67066";"20.10.2012"
"295";"3332166,9";"6485";"21.10.2012"
"296";"36685534,31";"74265";"22.10.2012"
"297";"35895027,24";"69174";"23.10.2012"
"298";"33072126,02";"63068";"24.10.2012"
"299";"31785903,11";"59472";"25.10.2012"
"300";"29108803,61";"50866";"26.10.2012"
"301";"23651483,72";"40905";"27.10.2012"
"302";"2519457,56";"4126";"28.10.2012"
"303";"30940346,53";"55922";"29.10.2012"
"304";"31068006,11";"52587";"30.10.2012"
"305";"29461801,16";"45140";"31.10.2012"
"306";"23059176,82";"28956";"01.11.2012"
"307";"19108924,51";"22378";"02.11.2012"
"308";"15130046,21";"17478";"03.11.2012"
"309";"558476,01";"656";"04.11.2012"
"310";"4485669,03";"4745";"05.11.2012"
"311";"19434556,67";"21734";"06.11.2012"
"312";"17064759,16";"17895";"07.11.2012"
"313";"15861961,39";"16871";"08.11.2012"
"314";"15805798,07";"16662";"09.11.2012"
"315";"14511134,75";"15314";"10.11.2012"
"316";"1340599,14";"1394";"11.11.2012"
"317";"16440620,96";"16694";"12.11.2012"
"318";"16116284,62";"16988";"13.11.2012"
"319";"16548676,22";"21256";"14.11.2012"
"320";"20797141,88";"33358";"15.11.2012"
"321";"31197812,85";"60206";"16.11.2012"
"322";"33173616,36";"63364";"17.11.2012"
"323";"4328440,87";"8170";"18.11.2012"
"324";"41658150,6";"84570";"19.11.2012"
"325";"44465629,19";"84635";"20.11.2012"
"326";"43459134,61";"79527";"21.11.2012"
"327";"39324545,59";"70850";"22.11.2012"
"328";"36315425,65";"66746";"23.11.2012"
"329";"34191571,78";"59646";"24.11.2012"
"330";"3787567,17";"6564";"25.11.2012"
"331";"36901274,11";"65032";"26.11.2012"
"332";"34906816,18";"58868";"27.11.2012"
"333";"30321975,22";"50671";"28.11.2012"
"334";"28580839,9";"48242";"29.11.2012"
"335";"27864055,95";"44343";"30.11.2012"
"336";"20255344,26";"27864";"01.12.2012"
"337";"2032302,78";"2664";"02.12.2012"
"338";"22216327,23";"27867";"03.12.2012"
"339";"17890451,91";"21652";"04.12.2012"
"340";"16183312,27";"18602";"05.12.2012"
"341";"15715391,59";"16618";"06.12.2012"
"342";"13036504,97";"14520";"07.12.2012"
"343";"13161387,07";"14598";"08.12.2012"
"344";"1272868,6";"1510";"09.12.2012"
"345";"15278889,97";"16742";"10.12.2012"
"346";"14671544,94";"14954";"11.12.2012"
"347";"15043650,42";"15663";"12.12.2012"
"348";"15063618,3";"17606";"13.12.2012"
"349";"18313016,78";"24576";"14.12.2012"
"350";"21785619,42";"30989";"15.12.2012"
"351";"2941573,46";"4591";"16.12.2012"
"352";"33628310,12";"58614";"17.12.2012"
"353";"40085379,25";"73603";"18.12.2012"
"354";"43730048,43";"81402";"19.12.2012"
"355";"47251103,12";"82594";"20.12.2012"
"356";"47155298,05";"83239";"21.12.2012"
"357";"42429114,83";"73031";"22.12.2012"
"358";"5316597,63";"9508";"23.12.2012"
"359";"52478832,56";"91458";"24.12.2012"
"360";"52450862,89";"86670";"25.12.2012"
"361";"51048611,62";"79872";"26.12.2012"
"362";"49212244,77";"73046";"27.12.2012"
"363";"50050424,87";"70152";"28.12.2012"
"364";"51908192,41";"69904";"29.12.2012"
"365";"25120821,5";"31722";"30.12.2012"
"366";"1385504,15";"2084";"31.12.2012"
"367";"31512,1";"78";"01.01.2013"
"368";"84778,43";"90";"02.01.2013"
"369";"87119,39";"91";"03.01.2013"
"370";"372893,63";"606";"04.01.2013"
"371";"336333,46";"552";"05.01.2013"
"372";"179374,57";"298";"06.01.2013"
"373";"114732,39";"162";"07.01.2013"
"374";"389030";"576";"08.01.2013"
"375";"28312026,32";"35050";"09.01.2013"
"376";"20562120,49";"24861";"10.01.2013"
"377";"16559906,38";"19846";"11.01.2013"
"378";"14553376,37";"17676";"12.01.2013"
"379";"1364428,56";"1629";"13.01.2013"
"380";"16624871,52";"20284";"14.01.2013"
"381";"19631654,27";"26189";"15.01.2013"
"382";"24131487,08";"35958";"16.01.2013"
"383";"30036513,26";"49663";"17.01.2013"
"384";"38932904,79";"68609";"18.01.2013"
"385";"39721449,16";"68434";"19.01.2013"
"386";"6150857,1";"10761";"20.01.2013"
"387";"51727906,07";"91218";"21.01.2013"
"388";"52908151,54";"91313";"22.01.2013"
"389";"51705804,69";"87361";"23.01.2013"
"390";"48637695,26";"81568";"24.01.2013"
"391";"45903451,16";"75283";"25.01.2013"
"392";"38795029,14";"61726";"26.01.2013"
"393";"4246008,61";"6958";"27.01.2013"
"394";"44913063,57";"72076";"28.01.2013"
"395";"42422827,31";"66125";"29.01.2013"
"396";"40515471,37";"61466";"30.01.2013"
"397";"35729502,4";"50783";"31.01.2013"
"398";"22086761,84";"27129";"01.02.2013"
"399";"18417294,23";"22015";"02.02.2013"
"400";"1828502,89";"2138";"03.02.2013"
"401";"19303810,79";"22473";"04.02.2013"
"402";"16616614,21";"18916";"05.02.2013"
"403";"14925269,85";"16566";"06.02.2013"
"404";"13024119,06";"14434";"07.02.2013"
"405";"13416238,26";"14565";"08.02.2013"
"406";"13178507,92";"14929";"09.02.2013"
"407";"1392311,43";"1793";"10.02.2013"
"408";"15374836,36";"17215";"11.02.2013"
"409";"14613129,91";"16921";"12.02.2013"
"410";"13915735,47";"17430";"13.02.2013"
"411";"13900844,16";"17963";"14.02.2013"
"412";"16553218,96";"23020";"15.02.2013"
"413";"21275287";"32248";"16.02.2013"
"414";"3605108,84";"5807";"17.02.2013"
"415";"39365513,05";"68211";"18.02.2013"
"416";"48483287,63";"85447";"19.02.2013"
"417";"55294012,39";"95417";"20.02.2013"
"418";"52161032,12";"89660";"21.02.2013"
"419";"49908367,32";"86956";"22.02.2013"
"420";"2562483,06";"4183";"23.02.2013"
"421";"6409973,94";"11285";"24.02.2013"
"422";"63925601,69";"110005";"25.02.2013"
"423";"62526385,3";"102375";"26.02.2013"
"424";"58534802,38";"94598";"27.02.2013"
"425";"54171406,58";"82827";"28.02.2013"
"426";"31273830,84";"43816";"01.03.2013"
"427";"24845992,68";"33635";"02.03.2013"
"428";"2456617,76";"3212";"03.03.2013"
"429";"23066302,63";"30019";"04.03.2013"
"430";"19289116,3";"23878";"05.03.2013"
"431";"17545054,39";"21164";"06.03.2013"
"432";"14140147,75";"17960";"07.03.2013"
"433";"451163,82";"542";"08.03.2013"
"434";"5443105,44";"6815";"09.03.2013"
"435";"1409355,1";"1794";"10.03.2013"
"436";"15901877,28";"18996";"11.03.2013"
"437";"16989334,98";"18930";"12.03.2013"
"438";"14587590,11";"17019";"13.03.2013"
"439";"13801063,86";"16926";"14.03.2013"
"440";"16809480,06";"24092";"15.03.2013"
"441";"19593564,94";"30029";"16.03.2013"
"442";"2870896,21";"4661";"17.03.2013"
"443";"30239793,7";"53619";"18.03.2013"
"444";"41919834,32";"77404";"19.03.2013"
"445";"48757419,57";"91436";"20.03.2013"
"446";"49725601,72";"92679";"21.03.2013"
"447";"47416855,23";"90176";"22.03.2013"
"448";"43578894,87";"80523";"23.03.2013"
"449";"5895201,47";"11346";"24.03.2013"
"450";"52281729,79";"97973";"25.03.2013"
"451";"48696320,27";"87291";"26.03.2013"
"452";"43584155,61";"76188";"27.03.2013"
"453";"38377747,3";"66236";"28.03.2013"
"454";"37560305,5";"64650";"29.03.2013"
"455";"32323513,86";"54912";"30.03.2013"
"456";"4200147,81";"6801";"31.03.2013"
"457";"26203177,59";"37690";"01.04.2013"
"458";"20633022,66";"27800";"02.04.2013"
"459";"18041625,12";"22982";"03.04.2013"
"460";"14579108,2";"18505";"04.04.2013"
"461";"13666955,16";"16689";"05.04.2013"
"462";"11235724,11";"14101";"06.04.2013"
"463";"1327202,91";"1706";"07.04.2013"
"464";"14068880,64";"16733";"08.04.2013"
"465";"13653397,19";"16186";"09.04.2013"
"466";"13411543,34";"15638";"10.04.2013"
"467";"12001599,3";"14264";"11.04.2013"
"468";"11819917,72";"14110";"12.04.2013"
"469";"10596600,89";"13017";"13.04.2013"
"470";"1532739,53";"2028";"14.04.2013"
"471";"16034793,98";"22619";"15.04.2013"
"472";"23313971,21";"39499";"16.04.2013"
"473";"34808624,47";"69253";"17.04.2013"
"474";"41966785,83";"86908";"18.04.2013"
"475";"42691421,15";"87962";"19.04.2013"
"476";"40981680,04";"80456";"20.04.2013"
"477";"5653230,2";"11180";"21.04.2013"
"478";"47401043,32";"94179";"22.04.2013"
"479";"46265357,48";"87971";"23.04.2013"
"480";"44812914,49";"84280";"24.04.2013"
"481";"43191675,66";"78636";"25.04.2013"
"482";"39660255,04";"72422";"26.04.2013"
"483";"32504192,98";"58032";"27.04.2013"
"484";"4407568,23";"8020";"28.04.2013"
"485";"46687515,01";"83452";"29.04.2013"
"486";"43915515,84";"71038";"30.04.2013"
"487";"1204084,07";"1731";"01.05.2013"
"488";"1170998,62";"1638";"02.05.2013"
"489";"939238,68";"1365";"03.05.2013"
"490";"1272607,96";"1745";"04.05.2013"
"491";"1609095,88";"2273";"05.05.2013"
"492";"26405060,18";"37415";"06.05.2013"
"493";"20308071,76";"28591";"07.05.2013"
"494";"18495885,71";"24670";"08.05.2013"
"495";"475707,13";"630";"09.05.2013"
"496";"4321769,98";"5945";"10.05.2013"
"497";"4594154,15";"6167";"11.05.2013"
"498";"1305999,33";"1809";"12.05.2013"
"499";"17289183,47";"22478";"13.05.2013"
"500";"16032600,41";"20898";"14.05.2013"
"501";"17746348,72";"24461";"15.05.2013"
"502";"20046779,98";"32233";"16.05.2013"
"503";"21449207,93";"38588";"17.05.2013"
"504";"22250344,99";"41777";"18.05.2013"
"505";"3216595,34";"6553";"19.05.2013"
"506";"34869749,12";"70186";"20.05.2013"
"507";"38283548,45";"75733";"21.05.2013"
"508";"38077424,99";"75488";"22.05.2013"
"509";"35740085,36";"71610";"23.05.2013"
"510";"39325937,23";"80431";"24.05.2013"
"511";"29047885,28";"58165";"25.05.2013"
"512";"4303107,78";"8608";"26.05.2013"
"513";"42066772,68";"84025";"27.05.2013"
"514";"41053742,99";"78169";"28.05.2013"
"515";"38580482,5";"71683";"29.05.2013"
"516";"36862363,46";"68292";"30.05.2013"
"517";"34210482,24";"60378";"31.05.2013"
"518";"16917552";"25242";"01.06.2013"
"519";"1071614,76";"1532";"02.06.2013"
"520";"21872580,15";"31359";"03.06.2013"
"521";"19038228,74";"26197";"04.06.2013"
"522";"17523835,3";"23272";"05.06.2013"
"523";"15869822,48";"20900";"06.06.2013"
"524";"14186134,73";"18794";"07.06.2013"
"525";"10076978,55";"13426";"08.06.2013"
"526";"840190,6";"1148";"09.06.2013"
"527";"15155606,87";"19947";"10.06.2013"
"528";"13409554,46";"16703";"11.06.2013"
"529";"1019120,28";"1324";"12.06.2013"
"530";"14800809,36";"19303";"13.06.2013"
"531";"14271730,11";"19491";"14.06.2013"
"532";"12849608,06";"19790";"15.06.2013"
"533";"1202569,98";"1891";"16.06.2013"
"534";"25177944,84";"47574";"17.06.2013"
"535";"33379938,5";"68717";"18.06.2013"
"536";"36283497,69";"76773";"19.06.2013"
"537";"38477452,71";"80062";"20.06.2013"
"538";"38928592,78";"78776";"21.06.2013"
"539";"27423847,09";"56228";"22.06.2013"
"540";"2000644,51";"3854";"23.06.2013"
"541";"40908386,88";"86062";"24.06.2013"
"542";"40962921,51";"81834";"25.06.2013"
"543";"39865724,59";"76064";"26.06.2013"
"544";"38252444,42";"72478";"27.06.2013"
"545";"39999870,21";"74837";"28.06.2013"
"546";"31051999,65";"56483";"29.06.2013"
"547";"3317979,15";"5221";"30.06.2013"
"548";"28700650,87";"45071";"01.07.2013"
"549";"31063957,66";"44558";"02.07.2013"
"550";"22707801,3";"32092";"03.07.2013"
"551";"18101742,64";"24945";"04.07.2013"
"552";"16015432,37";"21186";"05.07.2013"
"553";"11157782,42";"14950";"06.07.2013"
"554";"886890,21";"1205";"07.07.2013"
"555";"15501579,74";"21309";"08.07.2013"
"556";"14596708,06";"19197";"09.07.2013"
"557";"14130966,58";"18074";"10.07.2013"
"558";"12549556,51";"16114";"11.07.2013"
"559";"12262336,25";"15830";"12.07.2013"
"560";"8513471,05";"11305";"13.07.2013"
"561";"769653,05";"1095";"14.07.2013"
"562";"14663574,91";"22470";"15.07.2013"
"563";"16631571,45";"27579";"16.07.2013"
"564";"19482262,06";"36505";"17.07.2013"
"565";"24344460,19";"50892";"18.07.2013"
"566";"30379090,07";"70566";"19.07.2013"
"567";"27262878,85";"64576";"20.07.2013"
"568";"2230327,31";"4936";"21.07.2013"
"569";"36309068,7";"88214";"22.07.2013"
"570";"38561852,64";"91366";"23.07.2013"
"571";"39220454,41";"89384";"24.07.2013"
"572";"36309907,68";"81101";"25.07.2013"
"573";"31319875,32";"67112";"26.07.2013"
"574";"21388030,35";"45556";"27.07.2013"
"575";"1818761,74";"3569";"28.07.2013"
"576";"33726769,38";"73062";"29.07.2013"
"577";"31929551,16";"66216";"30.07.2013"
"578";"29073785,21";"55087";"31.07.2013"
"579";"19211037,55";"29124";"01.08.2013"
"580";"15385524,76";"22837";"02.08.2013"
"581";"10770507,41";"16275";"03.08.2013"
"582";"758688,88";"1221";"04.08.2013"
"583";"16251198,15";"23860";"05.08.2013"
"584";"14129386,68";"20347";"06.08.2013"
"585";"12909270,72";"17431";"07.08.2013"
"586";"11450497,74";"15283";"08.08.2013"
"587";"11609851,52";"15356";"09.08.2013"
"588";"9050361,52";"12474";"10.08.2013"
"589";"773933,28";"1033";"11.08.2013"
"590";"13757362,29";"19737";"12.08.2013"
"591";"15927526,74";"24101";"13.08.2013"
"592";"18467990,66";"32640";"14.08.2013"
"593";"19858688,23";"37841";"15.08.2013"
"594";"29151621";"60426";"16.08.2013"
"595";"23731102,76";"50421";"17.08.2013"
"596";"2352398,03";"4641";"18.08.2013"
"597";"39317719,72";"88190";"19.08.2013"
"598";"42256737,74";"90533";"20.08.2013"
"599";"37163842,02";"78879";"21.08.2013"
"600";"35132164,86";"73136";"22.08.2013"
"601";"33344908,75";"68671";"23.08.2013"
"602";"24105190,53";"50032";"24.08.2013"
"603";"2147243,32";"4186";"25.08.2013"
"604";"34802359,36";"72561";"26.08.2013"
"605";"32004726,4";"62220";"27.08.2013"
"606";"28332241,87";"55626";"28.08.2013"
"607";"27500418,75";"52232";"29.08.2013"
"608";"28174187,3";"52539";"30.08.2013"
"609";"20339479,05";"36644";"31.08.2013"
"610";"1514130,86";"2352";"01.09.2013"
